region,country,type_of_program,funding_agency,recipient,project_title,description,amount
Latin America And Caribbean,Ecuador (Not on TIP Report),"Prevention, Protection",Department of Labor (DOL),ILO-IPEC,Supporting the Timebound Program to Eliminate the Worst Forms of Child Labor in Ecuador,"This project supports the Timebound Program in Ecuador, which comprises a set of comprehensive and integrated initiatives to show visible results in the elimination of the worst forms of child labor and promotion of basic education in the country in a 5-10 year period. Trafficking of children for commercial sexual exploitation (CSE) purposes will be treated as a crosscutting issue in the project. The project will withdraw or prevent children from entering CSE and other sectors of exploitative labor and will provide them with educational opportunities and health services. Alternative income generation opportunities and training provided to families.","$ 2,013,146"
Latin America And Caribbean,Haiti (Tier 2),"Prevention, Protection, and Prosecution","USAID, Bureau for Latin America and the Caribbean",Pan American Development Foundation and Catholic Relief Services,Haiti—Child trafficking,"USAID/Haiti is conducting four interrelated anti-trafficking activities: 1) Research to clarify internal and external trafficking patterns and identify high incidence areas and populations most at risk; 2) In prosecution, training for officers within the newly formed Juvenile Protection Squad of the Haitian National Police and other officials; 3) A media/prevention campaign; 4) technical assistance and training to increase the capacity of NGOs that provide services to former child domestics.","$385,885"
Latin America And Caribbean,Haiti (Tier 2),"Prevention, Protection, and Prosecution","USAID, Bureau for Economic Growth, Agriculture and Trade, Office of Women in Development",Pan American Development Foundation and Catholic Relief Services,Haiti—Child trafficking,"USAID/Haiti is conducting four interrelated anti-trafficking activities: 1) Research to clarify internal and external trafficking patterns and identify high incidence areas and populations most at risk; 2) In prosecution, training for officers within the newly formed Juvenile Protection Squad of the Haitian National Police and other officials; 3) A media/prevention campaign; 4) technical assistance and training to increase the capacity of NGOs that provide services to former child domestics.","$415,115"
Latin America And Caribbean,Jamaica (Tier 2),Prevention,"USAID, Bureau for Economic Growth, Agriculture and Trade, Office of Women in Development","Bureau for Women's Affairs, Government of Jamaica",Trafficking in Persons,"Development of a pilot educational and training program that will work to increase literacy levels and enhance job skills of women who are vulnerable to becoming victims of trafficking. This program, to be targeted in certain high-risk communities, will provide women with the knowledge and skills needed to enter into the formal workforce and earn much needed income for themselves and their families.","$150,000"
Latin America And Caribbean,Mexico (Tier 2),"Prevention, Protection, and Prosecution","USAID, Bureau for Economic Growth, Agriculture and Trade, Office of Women in Development","Organization of American States/Inter-American Commission of Women, and International Organization for Migration",International Trafficking of Women and Children for Sexual Exploitation in the Americas,"This is a portion of a project that will be carried out throughout the Western Hemisphere and supported by multiple agencies. The Organization of American States/Inter-American Commission of Women (OAS/CIM) and International Organization for Migration will train government officials, civil society, and representatives of the private sector to identify and assist victims of trafficking and implement laws and regulations effectively. The program will also research and document social, legal, economic, cultural aspects of the trafficking problem and the response by government and civil society.","$168,750"
Latin America And Caribbean,Panama (Not on TIP Report),Prosecution,USDOS/G/TIP,U.S. Embassy Panama City,Trafficking in Persons Sensitivity and Law Enforcement Training Primer,"This two-day seminar will introduce Panamanian police and prosecutors to the definition of trafficking in persons and approach methods of identifying victims, collecting evidence and making prosecutions. Similar training was conducted by this organization in Nicaragua, which was highly rated by embassy and training recipients and has since been improved with the embassy’s input.","$8,000"
Latin America And Caribbean,Peru (Not on TIP Report),"Prevention, Protection",USDOS/PRM,IOM,Hotline and assistance to victims.,This project will establish a hotline and access to protection for potential victims. These activities build on a previously funded IOM preventive information campaign.,"$115,000"
Latin America And Caribbean,Regional: Caribbean,"Prevention, Protection",USDOS/PRM,IOM,"Prevention, protection, sex tourism","This project will be carried out in coordination with OAS-Inter American Commission of Women (CIM), targeting several Caribbean countries with awareness-raising and capacity-building activities, focusing on prevention, potential implications of trafficking, and sex tourism. The Royal Government of the Netherlands is providing funding for the Dutch Antilles.","$381,890"
Latin America And Caribbean,Regional: Central America,Prosecution,USDOS/G/TIP,DOJ/OPDAT,"Anti-Trafficking in Persons Law Enforcement Training Program in El Salvador, Honduras, and Nicaragua","The Department of Justice will train approximately 40 investigators and prosecutors per country from El Salvador (Tier 2), Honduras (Tier 2) and Nicaragua (Tier 2), in effective investigation and prosecution of trafficking in women and children cases through a series of seminars in each country plus a regional cooperation workshop including each country plus Costa Rica, Guatemala, and Mexico. The project will include modules on appropriate treatment of victims, evidence collection, effectively presenting evidence in court, and developing a common strategy to investigate and prosecute cases.","$266,800"
Latin America And Caribbean,Suriname (Tier 2),Prosecution,USDOS/G/TIP,USDOJ/OPDAT,Multi-Disciplinary Human Trafficking Course,"In this two-year project, OPDAT will attempt to improve all aspects of Surinamese law enforcement including increasing number of arrests and prosecutions; improving links with NGOs and law enforcement to ensure appropriate treatment of victims; create a cadre of trainers; incorporate inter-agency coordination on trafficking issues; and gain information on traffickers and trafficking routes.","$92,782"
Latin America And Caribbean,Uruguay (Not on TIP Report),"Prevention, Protection, and Prosecution",USDOS/G/TIP,Interamerican Institute of the Child,Creating Legislation to Prevent Child Pornography and the Trafficking of Children,"The goal is to create model legislation to adequately fight child pornography and child trafficking first in Uruguay and then for the rest of Mercosur (Argentina (no tier), Brazil (Tier 2), Bolivia (Tier 2) and Paraguay (no tier)). The Organization of American States Inter-American Institute of the Child (OAS/IIN), ECPAT, and the US embassy with participation from the Department of Justice, will conduct a regional workshop to share information and begin developing legislation. Workshops will also include law enforcement techniques and enhanced regional cooperation on prevention measures. Legislation will be fully drafted for Uruguay and shared with Mercosur countries for their adaptation.","$52,310"
Middle East,Bahrain (Tier 2),"Prevention, Prosecution, and Protection",USDOS/G/TIP,IOM,Migrants Rights in Bahrain – Capacity Building of National Institutions,"Bahrain is a destination country for trafficked persons from North Africa, South and East Asia, and Eastern Europe. The aim of this project is to increase the capacity of government institutions and NGOs to develop national instruments to protect foreign workers from abuse and establish mechanisms to fight and prevent migrant trafficking. Components of this project include: 1) Submission to the government IOM’s recommendations for implementing a national plan of action; 2) Organization of a tour to selected source countries to build effective networks between source and destination countries; 3) Dissemination of anti-trafficking publications; and 4) Training at national institutions on trafficking, migrant worker rights, and victim interview techniques.","$200,000"
Middle East,Israel,"Prevention, Protection",USAID/ECA,AED,,"A group of seven Israeli government officials and NGO leaders participated in a Voluntary Visitor Program on Trafficking in Persons, February 24-March 4, 2003. The group represented criminal justice, victim service, and foreign affairs interests. During their 10-day program, the group visited Washington, DC, Miami, and El Paso to meet with anti-trafficking experts at a variety of federal government agencies and NGOs that combat human trafficking. In addition, they explored systems to protect abused women and children and examined special trafficking, immigrant, and migrant worker issues that exit along the U.S.-Mexico border.","$26,239.26"
Middle East,Lebanon (Tier 2),"Protection, Prevention, and Prosecution",USDOS/G/TIP,Caritas and International Catholic Migration Commission (ICMC) through IOM,Protection and Assistance for Victims of Trafficking in Lebanon,"Year 2 of a 2-year project to develop victim assistance in Lebanon. This project will provide victims of trafficking a safe house, medical services, legal aid, counseling, repatriation assistance or help finding new employment in Lebanon. Lebanese law enforcement will refer trafficking victims to the center.","$369,517"
Middle East,Lebanon (Tier 2),"Prosecution, Protection",USDOS/G/TIP,Beirut Bar Association and Institute for Judicial Studies through embassy PAS,Training Courses for Judges-in-training and Continuing Education for Sitting Judges,"Judges in Lebanon are required to spend three years training in the Judicial Institute before taking the bench. Additionally, the Justice Institute provides sitting judges with continuing education opportunities. This project would insert specific training into the Judicial Institute’s curriculum on trafficking in persons with the goal of education judges to identify and successfully convict traffickers and provide computers and learning equipment to the Judicial Institute.","$59,225"
Middle East,Syria (Not on TIP Report),"Prevention, Protection, and Prosecution",USDOS/G/TIP,IOM,Awareness-raising about human trafficking in Syria,"The purpose of this project is to develop baseline knowledge about the trafficking problem in Syria and raise public and official awareness about the problem. IOM will develop and implement training sessions (for relevant ministries – Interior, Social Affairs and Labor) on foreign workers’ rights with a particular focus on what rights are granted by the international community to victims of trafficking. IOM Damascus will conduct a research study about the nature and extent of trafficking in Syria and establish a foundation for awareness raising and information sharing through the organization of an academic round-table discussion that will include government and NGO officials.","$48,050"
